"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"""Southeastern Oklahoma , also known by its official tourism designation , Kiamichi Country , encompasses the southeastern quarter of the state of Oklahoma .""","encompass","[u'makes up', u'covers', u'encircles', u'covers', u'covers', u'fills', u'includes', u'surrounds', u'covers', u'covers', u'includes', u'includes', u'surrounds', u'covers', u'is filled by', u'includes', u'surrounds', u'surrounds', u'contains', u'makes up', u'forms', u'covers', u'includes', u'contains', u'makes up', u'spans', u'covers', u'occupies', u'includes', u'is', u'surrounds', u'surrounds', u'contains', u'place', u'includes', u'surrounds', u'surrounds', u'includes', u'includes', u'surrounds', u'includes', u'takes up', u'includes', u'surrounds', u'surrounds', u'envelopes', u'includes', u'contains', u'circles', u'covers', u'includes', u'']","[u'cover', u'embrace', u'comprehend']","['N']","[u'inclose', u'encircle', u'lap', u'embrace', u'surround', u'beset', u'gird', u'environ', u'compass', u'enclose', u'circumvent']","['N']"
"""Phosgene can be detected at 0.4 ppm , which is four times the Threshold Limit Value .""","detect","[u'seen', u'seen', u'found', u'seen', u'found', u'found', u'seen', u'found', u'seen', u'spotted', u'found', u'noticed', u'seen', u'found', u'found', u'found', u'spotted', u'discovered', u'found', u'seen', u'found', u'seen', u'found', u'noticed', u'seen', u'noticed', u'noticed', u'found', u'noticed', u'found', u'noticed', u'noticed', u'noticed', u'seen', u'seen', u'shown', u'found', u'found', u'seen', u'seen', u'found', u'observed', u'found', u'seen', u'found', u'seen', u'noticed', u'found', u'observed', u'found', u'', u'']","[u'notice', u'observe', u'find', u'discover']","['N']","[]","['N']"
"""Railways now bypass the three major falls , and much of the trade of central Africa passes along the river , including copper , palm oil , sugar , coffee , and cotton .""","bypass","[u'avoid', u'cross', u'cross', u'avoid', u'route', u'skip', u'go by', u'go around', u'avoid', u'avoid', u'avoid', u'go around', u'skip', u'skip', u'go through', u'avoid', u'go around', u'go through', u'ignore', u'avoid', u'avoid', u'avoid', u'cross', u'go past', u'avoid', u'pass', u'pass', u'go around', u'go by', u'skip', u'pass', u'go around', u'avoid', u'detour', u'avoid', u'circumvent ', u'ignore', u'go around', u'detour around', u'avoid', u'pass by', u'ignore', u'avoid', u'detour', u'avoid', u'go around', u'go past', u'avoid', u'avoid', u'avoid', u'', u'']","[u'electrical_shunt', u'shunt', u'beltway', u'short-circuit', u'get_around', u'ringway', u'go_around', u'ring_road']","['N']","[]","['N']"
"""Pool , also known as pocket billiards , is the general term for a family of cue sports played on a pool table with six receptacles called pockets along the , into which balls are deposited as the main goal of play .""","receptacles","[u'holes ', u'holes', u'containers', u'holes', u'holes', u'holes', u'holes', u'holes', u'holes', u'containers', u'containers', u'holes', u'places', u'holes', u'holes', u'holes', u'holes', u'baskets', u'holes', u'containers', u'holes', u'holes', u'containers', u'holes', u'holders', u'containers', u'holes', u'holes', u'holes', u'holders', u'holes', u'holders', u'pouches', u'containers', u'holes', u'areas', u'holes', u'holes', u'spaces to collect', u'holes', u'openings', u'holes', u'holes', u'holes', u'containers', u'holes', u'holes', u'openings', u'divisions ', u'openings', u'', u'']","[u'receptacle']","['N']","[]","['N']"
"""While at Trinity he became more focussed on music , for there he met the folk song collector Cecil Sharp and composer and folk song enthusiast Ralph Vaughan Williams .""","focus","[u'fixed', u'fixed', u'concentrated', u'fixated', u'sighted', u'interested', u'centered', u'in love with working', u'interested', u'fixed', u'interested', u'concentrated', u'fixed', u'centered', u'fixed', u'centered', u'concentrated', u'concentrated', u'concerned', u'distracted', u'dedicated', u'interested', u'driven', u'concentrated', u'intrested', u'centered', u'concentrated', u'intent', u'concentrated', u'keen', u'interested', u'involved', u'supported', u'set', u'fixated', u'concentrated', u'interested', u'attracted', u'reliant', u'fond', u'mindful', u'intigued', u'centered', u'attracted', u'hooked', u'intent ', u'fixated', u'interested', u'centered', u'interested', u'', u'']","[u'nidus', u'direction', u'centering', u'center', u'concenter', u'centre', u'pore', u'focussing', u'focal_point', u'stress', u'concentrate', u'concentre', u'focusing', u'sharpen', u'focalize', u'focalise', u'rivet']","['N']","[u'hearth', u'resort ', u'combustion chamber']","['N']"
"""He is widely known for his roles as Little Joe Cartwright in Bonanza , Charles Ingalls in Little House on the Prairie , and Jonathan Smith in Highway to Heaven .""","widely","[u'well', u'well', u'largely', u'mostly', u'well', u'well', u'largely', u'majorly', u'famously', u'mostly', u'well ', u'well', u'extensively', u'well', u'mostly', u'famously', u'well', u'well', u'broadly', u'mostly', u'often', u'mostly', u'mostly', u'well', u'well', u'well', u'commonly', u'generally', u'commonly', u'mostly', u'well', u'well', u'well', u'popularly', u'largely', u'commonly', u'commonly', u'well', u'broadly', u'well', u'mostly', u'often', u'commonly', u'popularly', u'well', u'commonly', u'generally', u'commonly', u'commonly', u'well', u'', u'']","[u'wide']","['N']","[u'far and wide']","['N']"
"It is currently used mostly for football matches and is the home stadium of Union Sportive du Foyer de la RÌ©gie Abidjan-Niger .","match","[u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games ', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'games', u'', u'']","[u'catch', u'correspond', u'pair', u'twin', u'mates', u'play_off', u'lucifer', u'touch', u'pit', u'check', u'cope_with', u'fit', u'equalise', u'mate', u'gibe', u'couple', u'tally', u'friction_match', u'jibe', u'peer', u'compeer', u'rival', u'equal', u'oppose', u'equalize', u'meet', u'equate', u'agree']","['N']","[u'congreve', u'steeple chase', u'recognize', u'rhyme with', u'peer', u'twin', u'identify', u'lucifer', u'equal', u'recognition', u'fusee', u'locofoco', u'match up', u'corrivalry', u'mate', u'identification', u'corrivalship', u'horse racing', u'concours', u'vesuvian', u'handicap', u'reach', u'heat', u'pendant', u'pair', u'diagnosis', u'fellow', u'compeer', u'parallel', u'sister', u'run abreast', u'spill', u'light', u'keep pace with', u'fellow companion', u'brother', u'counterpart', u'race', u'vesta', u'double', u'agonism']","['N']"
"""The primary trinity included Tinia , Uni and Menrva .""","primary","[u'main', u'main', u'main', u'main', u'first', u'main', u'main', u'main', u'main', u'first', u'complete', u'main', u'central', u'main', u'main', u'main', u'most important', u'main', u'main', u'main', u'main', u'main', u'main', u'main', u'original', u'first', u'most important', u'main', u'main', u'central', u'main', u'main', u'main', u'first', u'original', u'most important', u'initial', u'leading ', u'main', u'main', u'first', u'first', u'main', u'main', u'first', u'main', u'main', u'main', u'main', u'main', u'', u'']","[u'primary_quill', u'primary_feather', u'primary_coil', u'elemental', u'basal', u'chief', u'primary_election', u'master', u'primary_winding', u'elementary', u'main', u'principal']","['Y']","[u'prime', u'primitive', u'council fire', u'paramount', u'radical', u'all-absorbing', u'capital', u'foremost', u'primordial', u'chief', u'vital', u'cardinal', u'leading', u'overruling', u'powwow', u'main', u'essential', u'principal']","['Y']"
"""In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .""","emigrate","[u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved abroad', u'moved', u'moved', u'moved', u'moved', u'came', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'traveled', u'traveled', u'moved', u'came', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'moved', u'came', u'moved', u'moved', u'moved', u'moved', u'moved', u'migrated', u'moved', u'left', u'moved', u'departed', u'moved', u'moved', u'migrated', u'moved', u'']","[]","['N']","[u'migrate']","['N']"
"""Loch Ness is best known for the alleged sightings of the legendary Loch Ness Monster , also known as `` Nessie '' .""","legendary","[u'famous', u'fabled', u'famous', u'epic', u'famous', u'famous', u'famous', u'famed', u'fabled', u'ancient', u'famed', u'famous', u'famous', u'mythical', u'famous', u'famed', u'rare', u'well known', u'famous', u'famous', u'famous ', u'famous', u'fabled', u'great', u'famous', u'awesome', u'fabld', u'famous', u'well known', u'famous', u'famous', u'famous', u'famous', u'famous', u' fabled', u'famous', u'unreal', u'famous', u'infamous', u'reputed', u'supposed', u'well-known', u'popular', u'mythical', u'mystical ', u'famous', u'famous', u'mythical', u'famous', u'famous', u'', u'']","[u'fabled']","['Y']","[u'fabulous']","['N']"
"""Polar bear fur consists of a layer of dense underfur and an outer layer of guard hairs , which appear white to tan but are actually transparent .""","transparent","[u'clear', u'clear', u'clear', u'clear', u'clear', u'see through', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'see through', u'clear', u'clear', u'translucent', u'clear', u'clear', u'see through', u'clear', u'clear', u'clear', u'clear', u'clear', u'see through', u'clear', u'clear', u'clear', u'clear', u'colorless', u'see through', u'clear', u'clear', u'see through', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'clear', u'see through', u'clear', u'clear', u'']","[u'gauze-like', u'sheer', u'gossamer', u'vaporous', u'crystal_clear', u'lucid', u'limpid', u'cobwebby', u'vapourous', u'filmy', u'guileless', u'pellucid', u'see-through', u'diaphanous', u'crystalline', u'gauzy']","['N']","[u'lucid', u'tralucent', u'relucent', u'pellucid', u'diaphanous', u'luminous', u'translucent']","['Y']"
"This is a considerably higher total than that of any other European country .","considerably","[u'much', u'significantly', u'much', u'lot', u'much', u'much', u'greatly', u'much', u'greatly', u'reasonably', u'very', u'much', u'much', u'much', u'much', u'much', u'much', u'much', u'remarkably ', u'much ', u'much', u'much', u'much', u'much', u'much', u'much', u'mcuh', u'much', u'much', u'a lot', u'larger', u'much', u'significantly', u'much', u'much', u'much', u'definitely', u'much', u'far', u'noticably', u'much', u'much', u'much', u'noteworthy', u'lot', u'much', u'much', u'greatly', u'noticeably', u'greatly', u'', u'']","[u'substantially', u'well']","['N']","[]","['N']"
"The Croatia national football team represents the Republic of Croatia in international football .","represent","[u'embodies', u'personifies', u'plays for', u'stands for', u'symbolizes', u'plays for', u'means', u'stands up for', u'symbolizes', u'belongs to', u'helps', u'portrays', u'plays for', u'is from', u'serves', u'serves', u'plays for', u'speaks for', u'plays for', u'exhibits', u'stands for', u'stands for', u'supports', u'acts as', u'stands for', u'stands for', u'signifies', u'plays for', u'captures', u'display', u'marks', u'serves', u'embodies', u'plays for', u'stands for', u'plays for', u'leads', u'plays for', u'stands for', u'plays for', u'from', u'exhibits', u'plays for', u'plays for', u'serves', u'plays for', u'equals', u'appears as', u'forms', u'is', u'', u'']","[u'exemplify', u'play', u'lay_out', u'stand_for', u'be', u'make_up', u'defend', u'correspond', u'symbolise', u'typify', u'map', u'present', u'interpret', u'act', u'constitute', u'symbolize', u'comprise', u'stage']","['N']","[u'delineate', u'let fall', u'intimate', u'depict ', u'representing', u'express', u'communicate', u'make known', u'set forth', u'mention', u'exhibit', u'stand for', u'portray ']","['N']"
"""As of , it lies at latitude 66 33 39 south of the equator .""","lie","[u'is', u'resides', u'is', u'is', u'is', u'is', u'sits', u'is located', u'sits', u'stations', u'sits', u'sits', u'sits', u'sits', u'exists', u'is', u'is', u'is', u'is', u'is positioned', u'is', u'is', u'is found', u'sits', u'is', u'sits', u'locates', u'is', u'is', u'sits', u'is', u'sits', u'is', u'rests', u'exists', u'is', u'exists', u'is', u'is found', u'is located', u'stands', u'is located', u'is', u'is', u'sits', u'sets', u'is', u'rests', u'sits', u'sits', u'', u'']","[u'prevarication', u'Trygve_Halvden_Lie', u'consist', u'Lie', u'Trygve_Lie', u'lie_in', u'rest', u'dwell', u'lie_down']","['N']","[u'taradiddle', u'story', u'whopper', u'shuffle ', u'misrepresent ', u'recline', u'pretend ', u'falsehood', u'bounce', u'couch', u'fib', u'thing that is not', u'make capital out of', u'untruth', u'have its seat in', u'stand', u'suggestio falsi ', u'crammer', u""take one's stand upon""]","['N']"
"""Triangles can also be classified according to their internal angles , measured here in degrees .""","classify","[u'grouped', u'grouped', u'categorized', u'arranged', u'labeled', u'grouped', u'grouped', u'categorized', u'named', u'divided', u'arranged', u'grouped', u'grouped', u'organized', u'named', u'grouped', u'grouped', u'grouped', u'grouped', u'organized', u'separated', u'sorted', u'sorted', u'named', u'grouped', u'defined', u'listed', u'categorized', u'categorized', u'identified', u'grouped', u'described', u'grouped', u'defined', u'called', u'grouped', u'sorted', u'grouped', u'described', u'grouped', u'organized', u'coded', u'arranged', u'categorized', u'sorted', u'organized', u'organized', u'categorized', u'organized', u'sorted', u'grouped', u'']","[u'sort', u'relegate', u'separate', u'assort', u'sort_out', u'class']","['N']","[u'class']","['N']"
"""SDLP leader John Hume , MP , identified the possibility that a negotiated settlement might be possible and began secret talks with Adams in 1988 .""","identify","[u'noticed', u'spotted', u'noted', u'stated', u'recognized', u'showed', u'became aware of', u'noticed', u'showed', u'realized', u'saw', u'found', u'showed', u'stated', u'found', u'found', u'found', u'pointed out', u'showed', u'thought of', u'saw', u'said', u'hinted', u'found', u'spotted', u'saw', u'talked about', u'described', u'found', u'saw', u'knew', u'revealed', u'picked out', u'considered', u'found', u'said', u'reconized', u'discovered', u'pointed out', u'suggested', u'selected', u'found', u'said', u'recognized ', u'pointed out', u'spotted', u'recognized', u'noted', u'recognized', u'recognized', u'', u'']","[u'name', u'describe', u'discover', u'place', u'key', u'distinguish', u'key_out']","['N']","[u'recognize', u'match up', u'draw a parallel', u'make certain of', u'verify', u'parallel', u'match']","['N']"
"""Despite almost daily reports of missing property , he was able to evade capture until 15 February , when a man named Wimbow , who had been pursuing him with a partner for days , found him in an area of thick brush called Liberty Plains and shot him .""","evade","[u'escape', u'escape', u'avoid', u'avoid', u'avoid', u'avoid', u'avoid', u'escape', u'escape', u'avoid', u'elude', u'avoid', u'avoid', u'avoid', u'escape', u'avoid', u'escape', u'not', u'be', u'escape', u'avoid', u'dodge', u'avoid', u'escape', u'escape', u'avoid', u'escape', u'avoid', u'avoid', u'avoid', u'escape', u'avoid', u'dodge', u'avoid', u'avoid', u'avoid', u'avoid', u'dodge', u'avoid', u'avoid', u'elude', u'escape', u'avoid', u'escape', u'escape', u'escape', u'escape', u'escape', u'avoid', u'avoid', u'avoid', u'avoid']","[u'dodge', u'fudge', u'sidestep', u'bilk', u'parry', u'elude', u'skirt', u'duck', u'hedge', u'circumvent', u'put_off']","['Y']","[u'mystify', u'give the go-by to', u'set aside', u'repudiate', u'equivocate', u'omit', u'renounce', u'elude', u'turn away from', u'fail', u'ignore', u'neglect', u'slight', u'forswear']","['Y']"
"Students are obligated to attend the central high school .","obligate","[u'required', u'required', u'required', u'required', u'required', u'supposed', u'required', u'supposed', u'required', u'made', u'required', u'required', u'bound', u'forced', u'required', u'forced', u'required', u'required', u'required', u'forced', u'required', u'required', u'made', u'forced', u'supposed', u'required', u'bound', u'forced', u'expected', u'required', u'required', u'required', u'required', u'required', u'supposed', u'forced', u'required', u'forced', u'made', u'forced', u'required ', u'forced', u'required', u'supposed ', u'required', u'required', u'required', u'required', u'required', u'required', u'', u'']","[u'oblige', u'bind', u'hold', u'compel']","['N']","[]","['N']"
"""Forming in the western Caribbean sea during the first week of November , Hurricane Gordon became the twelfth tropical depression , the seventh named tropical storm , and the third hurricane of the 1994 Atlantic hurricane season . An erratic , long-lived system which remained a tropical storm for most of its existence , it followed a winding path through the western Caribbean and into Florida before strengthening into a Category 1 hurricane and threatening North Carolina .""","erratic","[u'varied', u'wavering', u'unpredictable', u'unpredictable', u'unpredictable', u'unpredictable', u'chaotic', u'unpredictable', u'varied', u'crazy', u'unpredictable', u'unpredictable', u'unpredictable', u'wild', u'wild', u'unpredictable', u'unpredictable', u'unpredictable', u'odd', u'unusual', u'chaotic', u'random', u'unpredictable', u'crazy', u'unpredictable', u'unpredictable', u'unpredictable', u'crazy', u'unstable', u'irregular', u'wandering', u'strange', u'unpredictable', u'unstable', u'crazy', u'uneven', u'unpredictable', u'unpredictable', u'unpredictable', u'unpredictable', u'irregular', u'crazy', u'unpredictable', u'unusual', u'oddball', u'unpredictable', u'uncertain', u'unusual', u'not', u'foreseen', u'unpredictable', u'unpredictable']","[u'planetary', u'mercurial', u'quicksilver', u'fickle', u'wandering', u'temperamental']","['Y']","[u'fitful', u'stray', u'eccentric', u'vagrant', u'zigzag', u'fickle', u'indirect', u'circuitous', u'undirected', u'hysterical']","['N']"
"""Ashoka did not completely prohibit the killing of animals ; he prohibited gratuitous killings , he advocated restraint in the number that had to be killed for consumption , protected some of them , and in general condemned violent acts against animals , such as castration .""","prohibit","[u'ban', u'forbid', u'stop', u'prevented', u'ban', u'ban', u'ban', u'ban', u'ban', u'ban', u'forbid', u'ban', u'stop', u'stop', u'stop', u'ban', u'restrict', u'outlaw', u'forbid', u'ban', u'ban', u'outlaw', u'prevent', u'stop', u'ban', u'stop', u'stop', u'forbid', u'not allow', u'stop', u'forbid', u'disallow', u'stop', u'stop', u'stop', u'outlaw', u'prevent', u'ban', u'forbids ', u'ban', u'not allow', u'stop', u'forbid', u'forbid', u'ban', u'not allow', u'end', u'ban', u'stop', u'outlaw', u'', u'']","[u'forbid', u'proscribe', u'disallow', u'veto', u'nix', u'interdict']","['Y']","[u'inhibit']","['N']"
"""Good Friday , also called Holy Friday , Black Friday , or Great Friday , is a holiday observed primarily by adherents to Christianity commemorating the crucifixion of Jesus and his death at Calvary .""","primarily","[u'exclusively', u'predominantly', u'mostly', u'mainly', u'mostly', u'mostly', u'mostly', u'mainly', u'mostly', u'mostly', u'mostly', u'mainly', u'mainly', u'mainly', u'mainly', u'mostly', u'mostly', u'normally', u'mostly', u'mostly', u'normally', u'mostly', u'mostly', u'mainly', u'mostly', u'mainly', u'mainly', u'mostly', u'mainly', u'mainly', u'mostly', u'mainly', u'mainly', u'mostly', u'mostly', u'mostly', u'mostly', u'mostly', u'mostly', u'mostly', u'mostly', u'mostly', u'mainly', u'mainly', u'mainly', u'mainly', u'mostly', u'mainly', u'mainly', u'mainly', u'', u'']","[u'chiefly', u'mainly', u'in_the_first_place', u'in_the_main', u'principally']","['Y']","[]","['N']"
"The Billionaire of Dismal Downs is a Scrooge McDuck comic by Don Rosa . It is the ninth of the original 12 chapters in the series The Life and Times of Scrooge McDuck .","series","[u'show', u'set', u'line-up', u'set', u'stories', u'books', u'books', u'sequence', u'set', u'se', u'string', u'story', u'set', u'run', u'books', u'set', u'comic', u'sequence', u'set', u'story', u'collection', u'group', u'chain', u'books', u'set', u'parts', u'list', u'books', u'set', u'book', u'comics', u'set', u'books', u'cycle', u'story', u'group', u'saga', u'sequence', u'comics', u'collection', u'story', u'comics', u'comics', u'list', u'collection', u'book', u'set', u'collection', u'group', u'cycle', u'', u'']","[u'serial', u'serial_publication']","['N']","[u'progression', u'succession', u'suite', u'train chain', u'round']","['N']"
"""To reduce space and increase reading speed , virtually all Braille books are transcribed in what is known as Grade 2 Braille , which uses a system of contractions to reduce space and speed the process of reading .""","*reduce","[u'save', u'slow', u'lessen', u'cut down', u'downsize', u'lessen', u'lessen', u'minimize', u'decrease', u'lower', u'lessen', u'cut down on', u'lower', u'lessen', u'decrease', u'save', u'lessen', u'decrease', u'shrink', u'lessen', u'lower', u'minimize', u'decrease', u'cut', u'lower', u'lower', u'lower', u'lessen', u'weaken', u'shrink', u'lessen', u'lessen', u'decrease', u'minimize', u'take up less', u'shrink', u'lower', u'decrease', u'lower', u'save', u'decrease', u'shrink', u'lower', u'take', u'lessen', u'lessen', u'lessen', u'lower', u'cut down', u'lower', u'', u'']","[u'trim', u'dilute', u'abbreviate', u'subdue', u'abridge', u'slim', u'deoxidise', u'foreshorten', u'come_down', u'cut', u'shorten', u'repress', u'quash', u'lose_weight', u'cut_down', u'slim_down', u'trim_down', u'shrink', u'thin_out', u'tighten', u'slenderize', u'scale_down', u'decoct', u'concentrate', u'boil_down', u'cut_back', u'melt_off', u'bring_down', u'deoxidize', u'contract', u'thin', u'subjugate', u'trim_back', u'keep_down']","['Y']","[u'shave', u'cramp', u'abbreviate', u'give', u'abridge', u'chip', u'(subtraction)  abrade', u'file', u'pitch', u'abase', u'debase', u'price down', u'shorten', u'scrape', u'mark down take off', u'diminish the number', u'eliminate', u'take in', u'curtail', u'grind down', u'shear', u'cull', u'pare', u'reduce to poverty', u'precipitate', u'file down', u'rub down', u'weed', u'sink', u'detrude', u'blunt the edge of', u'make allowance', u'strain', u'attenuate', u'bring low', u'grind', u'decimate', u'thin', u'allow', u'wear down', u'sprain']","['N']"
"""The Pennines constitute the main watershed in northern England , dividing the eastern and western parts of the country .""","*constitute","[u'make up', u'make up', u'makes', u'brand', u'make', u'make up', u'are', u'make up', u'make up', u'are', u'form', u'make up', u'compose', u'make up', u'make up', u'make up', u'make up', u'make', u'are', u'are', u'form', u'comprise', u'form', u'are', u'controlled', u'complete', u'allow', u'are', u'embody', u'are', u'make up', u'are', u'are', u'make', u'include', u'form', u'make', u'make up', u'contain', u'are', u'frame', u'form', u'make up', u'frame', u'create', u'form', u'form', u'form', u'make up', u'are', u'make up', u'']","[u'appoint', u'represent', u'plant', u'name', u'form', u'be', u'institute', u'make_up', u'make', u'nominate', u'found', u'establish', u'comprise']","['Y']","[u'organize', u'form', u'institute', u'make', u'compose', u'establish']","['Y']"
"Canadian English is the variety of English used in Canada . More than 26 million Canadians have some knowledge of English .","*variety","[u'dialect', u'difference', u'kind', u'kind', u'type', u'kind', u'type', u'type', u'types', u'type', u'mix', u'kind', u'type', u'version', u'type', u'kind', u'type', u'type', u'type', u'type', u'kind', u'type', u'kind', u'type', u'type', u'type', u'collection', u'multitude ', u'type', u'kind', u'type', u'type', u'type', u'range', u'type', u'kind', u'type', u'type', u'type', u'type', u'kind', u'type', u'kind', u'type', u'type', u'mix', u'type', u'assortment', u'type', u'type', u'', u'']","[u'variety_show', u'sort', u'kind', u'mixture', u'diversity', u'diverseness', u'smorgasbord', u'motley', u'miscellanea', u'multifariousness', u'mixed_bag', u'salmagundi', u'form', u'miscellany', u'assortment', u'potpourri', u'change']","['Y']","[u'subset', u'kingdom', u'set', u'family', u'tribe', u'species', u'breed', u'type', u'sort', u'diversity', u'variation', u'kit', u'clan', u'kind', u'subtype', u'race', u'sect', u'variance', u'genus', u'sept', u'order', u'caste']","['Y']"
"""Problems may arise particularly with disposable soft lenses ; if the surface tension between the lens and the finger is too great the lens may turn itself inside out ; alternatively it may fold itself in half . When the lens first contacts the eye , a brief period of irritation may ensue as the eye acclimatizes to the lens and also as dirt on the lens irritates the eye .""","irritation","[u'tenderness', u'bothering', u'discomfort', u'minor pain', u'aggravation', u'annoyance', u'discomfort', u'pain', u'sore', u'discomfort', u'stress', u'soreness', u'tenderness', u'soreness', u'discomfort', u'discomfort', u'itching', u'discomfort', u'soreness', u'annoyance', u'itchiness', u'pain', u'tearing', u'aggravation', u'discomfort', u'pain', u'uncomfortableness', u'hurt', u'discomfort', u'discomfort', u'pain', u'discomfort', u'an annoying feeling', u'discomfort', u'soreness ', u'sensitivity', u'pain', u'annoyance', u'pain', u'pain', u'annoyance', u'pain', u'annoyance', u'annoyance', u'burning', u'pain', u'a burning sensation', u'discomfort', u'rawness', u'pain', u'', u'']","[u'annoyance', u'provocation', u'excitation', u'soreness', u'innervation', u'aggravation', u'botheration', u'pique', u'discomfort', u'annoying', u'vexation', u'temper']","['Y']","[u'annoyance', u'infliction', u'rousing', u'visitation', u'excitement', u'worry']","['Y']"
"""It is also widely believed that the size and number of connections in the prefrontal cortex relates directly to sentience , as the prefrontal cortex in humans occupies a far larger percentage of the brain than any other animal . As the brain has tripled in size over 5 million years of human evolution , the prefrontal cortex has increased in size sixfold .""","relate","[u'connects', u'connects', u'leads', u'relects', u'connects', u'is linked', u'infers', u'is connected', u'alludes', u'refers', u'has to do with', u'connects', u'connects', u'connects', u'connects', u'depicts', u'connects', u'assimilates', u'corresponds', u'connects', u'links', u'link', u'is connected', u'connects', u'connects', u'links', u'is involved', u'refers', u'has to do with', u'same as', u'connects', u'correlates', u'reports', u'compares', u'describe', u'connects', u'connects', u'is connected', u'has relation', u'connects', u'connects', u'affects', u'connects', u'goes', u'corresponds', u'ties', u'contributes', u'links', u'correlates', u'correlates', u'', u'']","[u'have-to_doe_with', u'interrelate', u'come_to', u'tie_in', u'associate', u'pertain', u'colligate', u'concern', u'bear_on', u'touch_on', u'link', u'connect', u'touch', u'refer', u'link_up']","['Y']","[u'recite', u'rehearse', u'recapitulate', u'recount', u'sum up', u""fight one's battles over again"", u'narrate', u'run over']","['N']"
"A voluntary association or union is a group of individuals who voluntarily enter into an agreement to form a body to accomplish a purpose .","accomplish","[u'finish', u'achieve', u'do', u'complete', u'achieve', u'serve', u'complete', u'fulfill', u'finish', u'achieve', u'fulfill', u'do', u'complete', u'complete', u'achieve', u'achieve', u'complete', u'achieve', u'finish', u'achieve', u'achieve', u'complete', u'finish', u'achieve', u'make', u'complete', u'achieve', u'serve', u'complete', u'complete', u'reach', u'achieve', u'complete', u'fulfill', u'achieve', u'finis', u'carry', u'out', u'achieve', u'attain', u'fulfill', u'achieve', u'reach', u'achieve', u'achieve', u'fulfill', u'fulfill', u'achieve', u'achieve', u'do', u'achieve', u'achieve']","[u'fulfil', u'execute', u'reach', u'carry_out', u'attain', u'carry_through', u'action', u'fulfill', u'achieve']","['Y']","[u'complete ', u'hammer out', u'consummate', u'compass', u'achieve']","['Y']"
"""Following the withdrawal of the more powerful Class 74 electro-diesels in 1977 , the Class 73 is now unique on the British railway network .""","network","[u'system', u'lines', u'connections', u'combination', u'system', u'system', u'system', u'system', u'line', u'system', u'collection', u'grid', u'tracks', u'system', u'system', u'connection', u'system', u'system', u'chain', u'system', u'system', u'system', u'lines', u'tracks', u'grid', u'system', u'connection', u'system', u'grid', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'system', u'grid', u'systemm', u'group', u'lines', u'system', u'system', u'networks', u'', u'']","[u'web', u'electronic_network', u'meshwork', u'mesh', u'net', u'meshing']","['N']","[u'labyrinth', u'sponge', u'honeycomb', u'reticulation']","['N']"
"The Sunnah is seen as crucial to guiding interpretation of the Qur ` an .","crucial","[u'essential', u'important', u'critical', u'important', u'important', u'important', u'vital', u'important', u'important', u'essential', u'vital', u'important', u'essential', u'essential', u'important', u'important', u'important', u'vital', u'vital', u'key', u'important', u'necessary', u'important', u'important', u'important', u'important', u'important', u'needed', u'important', u'necessary', u'important', u'necessary', u'important', u'important', u'important', u'important', u'necessary', u'important', u'important', u'essential', u'important', u'important', u'critical', u'important', u'necessary', u'vital', u'important', u'vital', u'important', u'important', u'important', u'']","[u'all_important', u'of_the_essence', u'essential', u'important', u'all-important']","['Y']","[u'decisive', u'categorical', u'cross', u'cruciform']","['N']"
